date,demanda,es_fin_de_semana,is_feb_29,mes_sin,mes_cos,dia_sin,dia_cos,dia_de_semana_sin,dia_de_semana_cos,flg_despues_llegada_competencia,anio,mes,dia,q1,q3,iqr,lower_bound,upper_bound,is_outlier_low,is_outlier_high
2020-01-01,110.0,0,False,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.9749279121818236,-0.22252093395631434,0,2020,1,1,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-02,110.0,0,False,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,0.43388373911755823,-0.900968867902419,0,2020,1,2,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-03,140.0,0,False,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,-0.433883739117558,-0.9009688679024191,0,2020,1,3,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-04,121.0,1,False,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866,-0.9749279121818236,-0.2225209339563146,0,2020,1,4,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-05,140.0,1,False,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624,-0.7818314824680299,0.6234898018587334,0,2020,1,5,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-06,140.0,0,False,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,0.0,1.0,0,2020,1,6,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-07,102.0,0,False,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,0.7818314824680298,0.6234898018587336,0,2020,1,7,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-08,97.0,0,False,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,0.9749279121818236,-0.22252093395631434,0,2020,1,8,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-09,97.0,0,False,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,0.43388373911755823,-0.900968867902419,0,2020,1,9,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-10,115.0,0,False,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,-0.433883739117558,-0.9009688679024191,0,2020,1,10,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-11,95.0,1,False,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626,-0.9749279121818236,-0.2225209339563146,0,2020,1,11,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-12,127.0,1,False,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791,-0.7818314824680299,0.6234898018587334,0,2020,1,12,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-13,88.0,0,False,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821,0.0,1.0,0,2020,1,13,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-14,90.0,0,False,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488,0.7818314824680298,0.6234898018587336,0,2020,1,14,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-15,97.0,0,False,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895,0.9749279121818236,-0.22252093395631434,0,2020,1,15,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-16,108.0,0,False,0.49999999999999994,0.8660254037844387,-0.10116832198743204,-0.9948693233918952,0.43388373911755823,-0.900968867902419,0,2020,1,16,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-17,108.0,0,False,0.49999999999999994,0.8660254037844387,-0.2993631229733582,-0.9541392564000488,-0.433883739117558,-0.9009688679024191,0,2020,1,17,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-18,117.0,1,False,0.49999999999999994,0.8660254037844387,-0.4853019625310808,-0.8743466161445822,-0.9749279121818236,-0.2225209339563146,0,2020,1,18,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-19,107.0,1,False,0.49999999999999994,0.8660254037844387,-0.651372482722222,-0.7587581226927911,-0.7818314824680299,0.6234898018587334,0,2020,1,19,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-20,86.0,0,False,0.49999999999999994,0.8660254037844387,-0.7907757369376986,-0.6121059825476627,0.0,1.0,0,2020,1,20,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-21,86.0,0,False,0.49999999999999994,0.8660254037844387,-0.8978045395707417,-0.44039415155763423,0.7818314824680298,0.6234898018587336,0,2020,1,21,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-22,78.0,0,False,0.49999999999999994,0.8660254037844387,-0.9680771188662041,-0.2506525322587213,0.9749279121818236,-0.22252093395631434,0,2020,1,22,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-23,76.0,0,False,0.49999999999999994,0.8660254037844387,-0.9987165071710528,-0.05064916883871355,0.43388373911755823,-0.900968867902419,0,2020,1,23,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-24,76.0,0,False,0.49999999999999994,0.8660254037844387,-0.9884683243281114,0.15142777750457667,-0.433883739117558,-0.9009688679024191,0,2020,1,24,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-25,76.0,1,False,0.49999999999999994,0.8660254037844387,-0.9377521321470804,0.3473052528448203,-0.9749279121818236,-0.2225209339563146,0,2020,1,25,86.0,112.5,26.5,46.25,152.25,False,False
2020-01-26,101.0,1,False,0.49999999999999994,0.8660254037844387,-0.8486442574947509,0.5289640103269624,-0.7818314824680299,0.6234898018587334,0,2020,1,26,86.0,112.5,26.5,46.25,152.25,False,False
